DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
01-03-2021,1,00:00 - 00:15,8277.7,10873.6,6395.2,6430.6,3429.15,3430.15
01-03-2021,1,00:15 - 00:30,8295.9,11689.1,6453.8,6459.5,3294.73,3295.73
01-03-2021,1,00:30 - 00:45,8270.4,12789.2,6428.4,6451,3294.23,3295.23
01-03-2021,1,00:45 - 01:00,8337.5,13161.2,6454.7,6503.4,3229.53,3230.53
01-03-2021,1,01:00 - 01:15,8254.1,13863.9,6489.2,6573.9,3113.47,3114.47
01-03-2021,1,01:15 - 01:30,8115.7,14267.9,6467.7,6470.1,3027.9,3028.9
01-03-2021,1,01:30 - 01:45,8052.8,14670.8,6405,6433.6,3027.31,3028.31
01-03-2021,1,01:45 - 02:00,7971.2,14981.9,6348.7,6403.1,3000.73,3001.73
01-03-2021,1,02:00 - 02:15,7960.8,15566.2,6416.7,6419.1,2959.07,2960.07
01-03-2021,1,02:15 - 02:30,7938.5,15729.1,6394.6,6406,2947.2,2948.2
01-03-2021,1,02:30 - 02:45,7852,15755.8,6317.5,6319.9,2889.07,2890.07
01-03-2021,1,02:45 - 03:00,7872.3,16023.8,6338.2,6361.6,2883.07,2884.07
01-03-2021,1,03:00 - 03:15,8221.5,15840.8,6682.8,6685.2,2899.94,2900.94
01-03-2021,1,03:15 - 03:30,8219.7,15690.8,6680.6,6683,2891.41,2892.41
01-03-2021,1,03:30 - 03:45,8276.6,15434.8,6737.2,6739.6,2889.93,2890.93
01-03-2021,1,03:45 - 04:00,8205,15902.8,6665.3,6667.7,2890.5,2891.5
01-03-2021,1,04:00 - 04:15,8607.7,15095.8,6865.3,6888.7,2886.5,2887.5
01-03-2021,1,04:15 - 04:30,8950.6,14549,7204.4,7206.8,2959.84,2960.84
01-03-2021,1,04:30 - 04:45,8887.6,14040.5,7065.6,7145.4,3027.13,3028.13
01-03-2021,1,04:45 - 05:00,9043.6,13515.6,7154.3,7223.9,3113,3114
01-03-2021,1,05:00 - 05:15,9478.8,12481.4,7572.8,7562.4,3229.85,3230.85
01-03-2021,6,05:15 - 05:30,9768.8,11888.4,7856.2,7845.8,3294.86,3295.86
01-03-2021,6,05:30 - 05:45,9855.3,11256.3,7897.9,7606.31,3359.02,3360.02
01-03-2021,6,05:45 - 06:00,10141.1,11904.3,8187.1,7692.21,3308.11,3309.11
01-03-2021,7,06:00 - 06:15,10077.3,12020.1,9338.5,8164.1,3379.21,3380.21
01-03-2021,7,06:15 - 06:30,10685.9,11666.2,9837.3,8822.7,3552.05,3553.05
01-03-2021,7,06:30 - 06:45,11066,11105.1,9678.28,9076.6,4021.65,4022.65
01-03-2021,7,06:45 - 07:00,11683.8,11179.4,10128.9,9445.73,4400.65,4401.65
01-03-2021,8,07:00 - 07:15,12150.2,10955,10107.8,9337.4,4789.49,4790.49
01-03-2021,8,07:15 - 07:30,13121.7,11223.4,10507.2,10093.1,5250.75,5251.75
01-03-2021,8,07:30 - 07:45,12970.7,10646.9,10084.9,9927.53,6000.72,6001.72
01-03-2021,8,07:45 - 08:00,12727.5,10288.7,9726.7,9578.4,6666.77,6667.77
01-03-2021,9,08:00 - 08:15,11948.8,10956.7,9967.5,9324.6,4500.82,4501.82
01-03-2021,9,08:15 - 08:30,11787.1,10343.6,9527.4,9059.13,5250.35,5251.35
01-03-2021,9,08:30 - 08:45,11385.5,9916.8,9130.6,8776.4,5250.18,5251.18
01-03-2021,9,08:45 - 09:00,10869.2,8903.5,8361.5,8109.1,6000.36,6001.36
01-03-2021,10,09:00 - 09:15,10490.5,9150.4,8259.4,8038.1,4999.07,5000.07
01-03-2021,10,09:15 - 09:30,10477.9,8538.5,7940.1,7750,6000.32,6001.32
01-03-2021,10,09:30 - 09:45,9874.7,8581,7645,7651.8,4999.1,5000.1
01-03-2021,10,09:45 - 10:00,9622.8,8640.1,7424.9,7431.7,4362.55,4363.55
01-03-2021,11,10:00 - 10:15,9180.1,8478.4,7065.95,7065.95,4201.75,4202.75
01-03-2021,11,10:15 - 10:30,9107.8,8256.3,6873.5,6873.5,4362.06,4363.06
01-03-2021,11,10:30 - 10:45,8824.3,8089.6,6554.7,6554.7,4012.1,4013.1
01-03-2021,11,10:45 - 11:00,8355.5,8144.2,6415.75,6415.75,3600.09,3601.09
01-03-2021,12,11:00 - 11:15,8514.4,8003.9,6602.85,6637.3,4010.95,4011.95
01-03-2021,12,11:15 - 11:30,8487.3,8083.1,6631.55,6650.5,4000.95,4001.95
01-03-2021,12,11:30 - 11:45,8057.2,8223.1,6294.8,6520.4,3769.13,3770.13
01-03-2021,12,11:45 - 12:00,7930.3,8797.8,6520.2,6570.2,3408.84,3409.84
01-03-2021,13,12:00 - 12:15,7824.2,8968.5,6499.8,6536,3305.1,3306.1
01-03-2021,13,12:15 - 12:30,7783.5,9027.4,6492.3,6498.5,3294.39,3295.39
01-03-2021,13,12:30 - 12:45,7771.5,9146.8,6552.2,6554.8,3113.85,3114.85
01-03-2021,13,12:45 - 13:00,7995.1,9724.2,6876,6955.2,3113.3,3114.3
01-03-2021,14,13:00 - 13:15,8458.8,10757.6,7455.3,7506.8,3098.76,3099.76
01-03-2021,14,13:15 - 13:30,8674.1,11515.2,7946.3,7961.7,2947.79,2948.79
01-03-2021,14,13:30 - 13:45,8778.6,12194.7,8106.3,8111.8,2899.86,2900.86
01-03-2021,14,13:45 - 14:00,8716.8,12813.4,8088.9,8112,2799.71,2800.71
01-03-2021,15,14:00 - 14:15,9313.1,12914.6,8690,8688.4,2883.93,2884.93
01-03-2021,15,14:15 - 14:30,9743.2,13372.3,9037.1,9035.5,2849.81,2850.81
01-03-2021,15,14:30 - 14:45,10426.3,12996.9,9512.3,9647.5,2953.99,2954.99
01-03-2021,15,14:45 - 15:00,11152,12843.4,9993.5,10134.8,3079.74,3080.74
